chr2L:5037-9636	2L:5037..9636
chr2R:3902416-3938879	2R:8390603..8427066
chr2R:4127816-4159479	2R:8616003..8647666
chr2R:4195516-4225979	2R:8683703..8714166
chr2R:4524216-4539715	2R:9012403..9027902
chr2R:4953416-4958479	2R:9441603..9446666
chr2R:5080016-5091179	2R:9568203..9579366
chr2R:5218916-5239179	2R:9707103..9727366
chr2R:5295016-5309879	2R:9783203..9798066
chr2R:5363216-5396679	2R:9851403..9884866
chr2R:5582516-5609379	2R:10070703..10097566
chr2R:5860516-5876279	2R:10348703..10364466
chr2R:6099716-6134079	2R:10587903..10622266
chr2R:6553916-6567979	2R:11038009..11052072
chr2R:7122580-7142479	2R:11606673..11626572
chr2R:7276816-7316079	2R:11760909..11800172
chr2R:7361316-7459579	2R:11845409..11943672
chr2R:7592516-7695079	2R:12076609..12179172
chr2R:8770816-8799779	2R:13254909..13283872
chr2R:8837216-8930279	2R:13321309..13414372
chr2R:9500080-9538279	2R:13984173..14022372
chr2R:9597816-9637279	2R:14081909..14121372
chr2R:10083016-10100979	2R:14568153..14586116
chr2R:10336816-10367979	2R:14821953..14853116
chr2R:10678816-10706279	2R:15163953..15191416
chr2R:10928116-11001379	2R:15413253..15486516
chr2R:11213916-11226479	2R:15699053..15711616
chr2R:11711516-11733479	2R:16196653..16218616
chr2R:12119916-12127379	2R:16605053..16612516
chr2R:12189216-12198715	2R:16674353..16683852
chr2R:12354280-12408779	2R:16839417..16893916
chr2R:12522216-12556415	2R:17007353..17041552
chr2R:12689016-12724179	2R:17174153..17209316
chr2R:13203116-13236715	2R:17688253..17721852
chr2R:13637116-13647779	2R:18122253..18132916
chr2R:13697916-13717179	2R:18183053..18202316
chr2R:14135616-14151279	2R:18620753..18636416
chr2R:14551316-14574479	2R:19036453..19059616
chr2R:15144516-15164079	2R:19629653..19649216
chr2R:15658616-15828679	2R:20143753..20313816
chr2R:15891216-16091679	2R:20376353..20576816
chr2R:16423480-16461979	2R:20915898..20954397
chr2R:16720616-16745479	2R:21213034..21237897
chr2R:16785416-16878879	2R:21277834..21371297
chr2R:17245916-17269579	2R:21738334..21761997
chr2R:17726516-17798779	2R:22218934..22291197
chr2R:18120316-18166679	2R:22612734..22659097
chr2R:18745116-18761279	2R:23237516..23253679
chr2R:18932216-18944579	2R:23424616..23436979
chr2R:18981380-19046315	2R:23473780..23538715
chr2R:19061716-19123579	2R:23554116..23615979
chr2R:19506216-19537579	2R:23998616..24029979
chr2R:20236516-20268179	2R:24728916..24760579
chr2R:20598116-20630079	2R:25090516..25122479
chr2R:20686616-20744079	2R:25179016..25236479
chr2R:20928216-21011979	2R:?..?
chr3L:19749-128048	3L:36218..144516
chr3L:368685-434048	3L:385153..450516
chr3L:897485-914348	3L:913953..930816
chr3L:1086885-1129948	3L:1103353..1146416
chr3L:1169085-1187548	3L:1185553..1204016
chr3L:1353285-1483948	3L:1369753..1500416
chr3L:1914585-1927948	3L:1931053..1944416
chr3L:3420485-3443648	3L:3436953..3460116
chr3L:3617585-3642348	3L:3634053..3658816
chr3L:3843285-3888748	3L:3859753..3905216
chr3L:3988785-4030248	3L:4005253..4046716
chr3L:4147085-4167348	3L:4163553..4183816
chr3L:4840685-4867348	3L:4859838..4886501
chr3L:4964685-5020148	3L:4983838..5039301
chr3L:5604185-5632448	3L:5630238..5658501
chr3L:5824985-5922148	3L:5851038..5948201
chr3L:5964585-5991448	3L:5990638..6017501
chr3L:6091485-6114948	3L:6117538..6141001
chr3L:6758485-6903148	3L:6784538..6929201
chr3L:6975485-6986248	3L:7001538..7012301
chr3L:7932885-7953848	3L:7958938..7979901
chr3L:8647285-8684448	3L:8673338..8710501
chr3L:8993985-9039248	3L:9020038..9065301
chr3L:9759385-9794848	3L:9785438..9820901
chr3L:10219285-10352248	3L:10245338..10378301
chr3L:10949985-11021548	3L:10976038..11047601
chr3L:11912685-11930348	3L:11938738..11956401
chr3L:12309885-12326548	3L:12335938..12352601
chr3L:12421185-12464048	3L:12447238..12490101
chr3L:12567385-12695448	3L:12593438..12721501
chr3L:13044685-13252248	3L:13070738..13278301
chr3L:13383785-13401648	3L:13409838..13427701
chr3L:14109985-14181248	3L:14144726..14215989
chr3L:14417485-14502048	3L:14452226..14536789
chr3L:14564085-14596248	3L:14598826..14630989
chr3L:14807985-14833448	3L:14842726..14868189
chr3L:15009685-15041048	3L:15044426..15075789
chr3L:15650485-15796648	3L:15685226..15831389
chr3L:16006585-16028948	3L:16041326..16063689
chr3L:16440385-16486748	3L:16475126..16521489
chr3L:18192485-18442848	3L:18227226..18477589
chr3L:18842185-18856948	3L:18876926..18891689
chr3L:19649885-19677248	3L:19684626..19711989
chr3L:20606285-20698248	3L:20672444..20764407
chr3L:20782385-20791748	3L:20848544..20857907
chr3L:21448585-21476648	3L:21514744..21542807
chr3L:21574485-21596748	3L:21640644..21662907
chr3L:21788585-21813648	3L:21854744..21879807
chr3L:22106785-22183948	3L:22172944..22250107
chr3LHet:202264-229927	3LHet:?..?
chr3R:165594-191457	3R:4339872..4365735
chr3R:649094-688657	3R:4823372..4862935
chr3R:1540394-1558357	3R:5714672..5732635
chr3R:2491294-2868257	3R:6665572..7042535
chr3R:3756994-3792057	3R:7931272..7966335
chr3R:3998894-4040457	3R:8173172..8214735
chr3R:4096494-4163957	3R:8270772..8338235
chr3R:6190794-6202057	3R:10365072..10376335
chr3R:6440794-6499157	3R:10615072..10673435
chr3R:7080594-7137657	3R:11254872..11311935
chr3R:7179394-7197757	3R:11353672..11372035
chr3R:8067794-8144257	3R:12242072..12318535
chr3R:8883694-8903457	3R:13057972..13077735
chr3R:9616294-9647257	3R:13790572..13821535
chr3R:9697194-9761357	3R:13871472..13935635
chr3R:11400094-11498757	3R:15574372..15673035
chr3R:11810794-11866457	3R:15985072..16040735
chr3R:12211694-12251857	3R:16385972..16426135
chr3R:12487894-12802557	3R:16662172..16976835
chr3R:13374394-13428757	3R:17548672..17603035
chr3R:13478194-13494857	3R:17652472..17669135
chr3R:13748594-13780957	3R:17922872..17955235
chr3R:13855494-13956157	3R:18029772..18130435
chr3R:14056294-14066057	3R:18230572..18240335
chr3R:14195294-14212357	3R:18369572..18386635
chr3R:15619394-15669457	3R:19793672..19843735
chr3R:16667294-16675957	3R:20841572..20850235
chr3R:17204594-17391857	3R:21378872..21566135
chr3R:18954994-18974357	3R:23129272..23148635
chr3R:19016594-19039857	3R:23190872..23214135
chr3R:19112994-19144057	3R:23287272..23318335
chr3R:20903394-20922657	3R:25077672..25096935
chr3R:21916394-21931757	3R:26090672..26106035
chr3R:23010394-23037457	3R:27184672..27211735
chr3R:23254994-23275557	3R:27429272..27449835
chr3R:24371194-24422857	3R:28545472..28597135
chr3R:25338894-25404757	3R:29513172..29579035
chr3R:25511394-25540557	3R:29685672..29714835
chr3R:26084694-26108257	3R:30258972..30282535
chr3R:26547094-26613957	3R:30721372..30788235
chr3R:26671194-26754357	3R:30845472..30928635
chr3R:26887194-26899957	3R:31061472..31074235
chr3R:27894294-27898793	3R:32068572..32073071
chr4:400610-452073	4:380360..431823
chr4:719210-737873	4:698960..717623
chr4:821810-869473	4:801560..849223
chr4:1002910-1020073	4:982660..999823
chr4:1107910-1124873	4:1087660..1104623
chrUextra:2496-24095	Uextra:?..?
chrUextra:67860-101195	Uextra:?..?
chrUextra:28688996-28690159	Uextra:?..?
chrX:256363-356026	X:399541..499204
chrX:428563-440726	X:571742..583905
chrX:471163-496026	X:614342..639205
chrX:2018463-2039626	X:2162307..2183470
chrX:2283263-2336826	X:2427107..2480670
chrX:2395563-2417626	X:2539407..2561470
chrX:3699363-3727662	X:3854126..3882425
chrX:3973463-3987126	X:4128226..4141889
chrX:4294563-4515326	X:4449326..4670089
chrX:5447963-5501426	X:5602726..5656189
chrX:5888063-5923926	X:6042827..6078690
chrX:7005063-7192826	X:7159827..7347590
chrX:7251263-7265426	X:7406027..7420190
chrX:7430063-7548526	X:7584827..7703290
chrX:8508163-8570826	X:8662927..8725590
chrX:8634363-8729026	X:8789127..8883790
chrX:9178363-9199726	X:9333142..9354505
chrX:9583763-9670226	X:9738542..9825005
chrX:11200963-11218326	X:11355745..11373108
chrX:12507663-12530126	X:12673726..12696189
chrX:12813963-12837826	X:12980026..13003889
chrX:13835963-13959026	X:14002026..14125089
chrX:15248363-15274026	X:15414426..15440089
chrX:15500863-15589926	X:15666926..15755989
chrX:15957963-15990326	X:16124026..16156389
chrX:16036163-16138326	X:16202226..16304389
chrX:17200663-17300426	X:17366726..17466489
chrX:17649463-17712826	X:17815526..17878889
chrX:18134963-18213126	X:18301026..18379189
chrX:18465863-18493926	X:18631926..18659989
chrX:19430163-19451126	X:19596226..19617189
chrX:19774063-19791426	X:19940126..19957489
chrX:20186963-20247926	X:20376287..20437250
chrX:20403163-20630026	X:20592487..20819350
