Chr	Start	End	CRMName	GeneName
2L	21881569	21882068	tsh_peak_+64.9	FBgn0016650
2L	21803419	21803918	tsh_peak_-13.3	FBgn0016650
2L	5960439	5960954	Vm26Aa__del-DCE1	FBgn0003979
2L	5960512	5960687	Vm26Aa_ICE	FBgn0003979
2L	5960359	5960954	Vm26Aa_regulatory_region	FBgn0003979
2L	11171704	11171777	Vm32E_-112/-39	FBgn0014076
2L	11171704	11171800	Vm32E_-135/-39	FBgn0014076
2L	11170432	11171914	Vm32E_-249	FBgn0014076
2L	11171704	11171918	Vm32E_-253/-39	FBgn0014076
2L	11171704	11172013	Vm32E_-348/-39	FBgn0014076
2L	11171703	11172130	Vm32E_-425/-39	FBgn0014076
2L	11171784	11172130	Vm32E_-465/-119	FBgn0014076
2L	11171736	11172130	Vm32E_-465/-71	FBgn0014076
2L	7302330	7303350	wg_del-wg	FBgn0004009
2L	7313287	7313786	wg_peak_+6.1	FBgn0004009
2L	7298837	7299336	wg_peak_-8.3	FBgn0004009
2L	7302330	7307600	wg_WLZ4.5L	FBgn0004009
2R	2013528	2014192	1.28_DRE	FBgn0086655
2R	16451016	16451611	Act57B_-539/+2	FBgn0000044
2R	2758176	2758393	Ady43A_mesoderm	FBgn0026602
2R	1216942	1217622	ap_ApME680	FBgn0267978
2R	1218362	1219597	ap_brain	FBgn0267978
2R	10261724	10262253	AttA_prom	FBgn0012042
2R	14965023	14966342	betaTub56D_AS1	FBgn0003887
2R	14964387	14965024	betaTub56D_AS2	FBgn0003887
2R	14963537	14964388	betaTub56D_AS3	FBgn0003887
2R	19811784	19812119	betaTub60D_b3-lac333	FBgn0003888
2R	19811784	19812234	betaTub60D_b3-lac449	FBgn0003888
2R	19817139	19817497	betaTub60D_beta3-13	FBgn0003888
2R	19816619	19817143	betaTub60D_beta3-14/vm1	FBgn0003888
2R	19816714	19816980	betaTub60D_beta3-17	FBgn0003888
2R	16112740	16113103	bl_bl/Mir7_O-E	FBgn0267791
2R	10645741	10649094	chn_CG11798-PE	FBgn0270928
2R	10647163	10648276	chn_SOP	FBgn0270928
2R	5221315	5222237	dap_dap3'2'	FBgn0010316
2R	5220270	5222237	dap_dap-4'2'	FBgn0010316
2R	5222213	5224212	dap_dap-5'-2R	FBgn0010316
2R	5222213	5224746	dap_dap-5'-2R+UTR	FBgn0010316
2R	5225340	5226748	dap_dap-B	FBgn0010316
2R	5225340	5225906	dap_dap-BB	FBgn0010316
2R	5226211	5226748	dap_dap-del	FBgn0010316
2R	5225885	5226748	dap_dap-HB	FBgn0010316
2R	5224885	5226748	dap_dap-SB	FBgn0010316
2R	5566370	5567021	Def_prom	FBgn0010385
2R	20314822	20319005	Dll_179	FBgn0000157
2R	20305645	20309454	Dll_207	FBgn0000157
2R	20310383	20314823	Dll_208	FBgn0000157
2R	20309454	20310383	Dll_215	FBgn0000157
2R	20310382	20311259	Dll_304	FBgn0000157
2R	20331766	20333841	Dll_ETD2b	FBgn0000157
2R	20346424	20352301	Dll_ETD6	FBgn0000157
2R	3743511	3746280	dpn_dC	FBgn0010109
2R	3747582	3749307	dpn_dF	FBgn0010109
2R	1686466	1690622	EcR_AB	FBgn0000546
2R	1679043	1690622	EcR_AG	FBgn0000546
2R	1683963	1687831	EcR_BD	FBgn0000546
2R	1683252	1686409	EcR_CE	FBgn0000546
2R	1679043	1685323	EcR_DG	FBgn0000546
2R	14186167	14187548	edl_PE	FBgn0023214
2R	7041545	7042265	en_intron	FBgn0000577
2R	7043749	7043787	en_mimimal_promoter	FBgn0000577
2R	7037169	7037668	en_peak_+6.1	FBgn0000577
2R	7041187	7042087	en_stripe_enhancer_intron_1	FBgn0000577
2R	7043790	7046191	en_upstream_enhancer	FBgn0000577
2R	5494669	5495453	eve_CQ/late_APR	FBgn0000606
2R	5493755	5494670	eve_early_APR	FBgn0000606
2R	5493050	5494151	eve_EL	FBgn0000606
2R	5497247	5497547	eve_eme2	FBgn0000606
2R	5497174	5497569	eve_EME-B	FBgn0000606
2R	5497307	5497569	eve_EME-B3	FBgn0000606
2R	5497174	5497407	eve_EME-B5	FBgn0000606
2R	5492649	5493756	eve_ftz-like	FBgn0000606
2R	5492754	5494554	eve_late_element_2_even7	FBgn0000606
2R	5485751	5485856	eve_mas	FBgn0000606
2R	5497096	5497408	eve_MHE	FBgn0000606
2R	5498988	5500381	eve_neuronal	FBgn0000606
2R	5490927	5491134	eve_proximal_promoter_inc._TATA	FBgn0000606
2R	5498988	5499546	eve_RP_eve	FBgn0000606
2R	5487313	5487824	eve_stripe_3+7	FBgn0000606
2R	5497747	5498548	eve_stripe1	FBgn0000606
2R	5489574	5490058	eve_stripe2	FBgn0000606
2R	5495711	5496511	eve_stripe4_6	FBgn0000606
2R	5498537	5499341	eve_stripe5	FBgn0000606
2R	20564953	20571208	gsb_2.8S	FBgn0001147
2R	20564438	20564954	gsb_fragIV	FBgn0001147
2R	20566397	20567129	gsb_GLE	FBgn0001147
2R	20561006	20562992	gsb-n_gsbnE	FBgn0001147
2R	19379120	19379619	ken_peak_+1.2	FBgn0011236
2R	10326759	10327894	kn_701-1835	FBgn0001320
2R	10326603	10327894	kn_wing	FBgn0001320
2R	20730218	20731377	Kr_CD1	FBgn0001325
2R	20733665	20734615	Kr_H/I	FBgn0001325
2R	20731858	20733358	Kr_H/J	FBgn0001325
2R	20731192	20731783	Kr_HBg0.6HZ	FBgn0001325
2R	20733979	20735566	Kr_Kr/F	FBgn0001325
2R	20731651	20733358	Kr_NcS1.7HZ	FBgn0001325
2R	20725021	20728155	Kr_PP3.OHZ	FBgn0001325
2R	20733357	20735100	Kr_SN1.7KrZ	FBgn0001325
2R	20730653	20731783	Kr_StBg1.2HZ	FBgn0001325
2R	20730653	20731193	Kr_StH0.6HZ	FBgn0001325
2R	5443668	5443844	Mef2_adepithelial_enhancer	FBgn0011656
2R	5447811	5448293	Mef2_GE491	FBgn0011656
2R	5443342	5443803	Mef2_I-D[L]	FBgn0011656
2R	5443521	5443803	Mef2_I-D[s]	FBgn0011656
2R	5443798	5444357	Mef2_I-E	FBgn0011656
2R	5447092	5447329	Mef2_IIA237	FBgn0011656
2R	5447052	5447329	Mef2_IIA277	FBgn0011656
2R	5446779	5447476	Mef2_II-B[L]	FBgn0011656
2R	5446779	5447476	Mef2_II-B[S]	FBgn0011656
2R	5449421	5450525	Mef2_II-E	FBgn0011656
2R	5447049	5447412	Mef2_minimal_composite_(#8)	FBgn0011656
2R	10923363	10923738	Mtk_prom	FBgn0014865
2R	15209629	15212649	Obp56a_prom	FBgn0034468
2R	15214163	15216176	Obp56b_prom	FBgn0046880
2R	15215644	15218047	Obp56c_prom	FBgn0046879
2R	15218611	15221612	Obp56d_prom	FBgn0034470
2R	15224260	15227261	Obp56e_prom	FBgn0034471
2R	15298881	15301832	Obp56g_prom	FBgn0034474
2R	15328631	15330441	Obp56h_prom	FBgn0034475
2R	16017031	16020033	Obp57a_prom	FBgn0034509
2R	16016128	16019130	Obp57b_prom	FBgn0043534
2R	16015530	16018531	Obp57c_prom	FBgn0034509
2R	16063947	16066750	Obp57d_prom	FBgn0043536
2R	16063152	16066159	Obp57e_prom	FBgn0043536
2R	16406610	16407051	otp_C	FBgn0015524
2R	16406100	16406610	otp_P	FBgn0015524
2R	19495424	19495867	Phm_mesoderm	FBgn0004860
2R	11345235	11351364	Poxn_1	FBgn0003130
2R	11345235	11346306	Poxn_2	FBgn0003130
2R	11349292	11352912	Poxn_3	FBgn0003130
2R	11351363	11354165	Poxn_4	FBgn0003130
2R	11352911	11358115	Poxn_5	FBgn0003130
2R	11352911	11354165	Poxn_6	FBgn0003130
2R	11354164	11355362	Poxn_7	FBgn0003130
2R	11355361	11358115	Poxn_8	FBgn0003130
2R	11349637	11350138	Poxn_9	FBgn0003130
2R	10132295	10134306	Sec61beta_Sec61beta_prom	FBgn0010638
2R	11404815	11405756	sli_0.9_NC	FBgn0264089
2R	11403016	11403973	sli_1.0_HV	FBgn0264089
2R	11404630	11405756	sli_1.2_NM	FBgn0264089
2R	11401369	11403017	sli_1.5_BH	FBgn0264089
2R	11403972	11405756	sli_1.8_NV	FBgn0264089
2R	11408217	11410441	sli_2.2_BR	FBgn0264089
2R	11405651	11408218	sli_2.6_RV	FBgn0264089
2R	11403519	11403900	sli_380_dNc	FBgn0264089
2R	11405651	11410441	sli_4.8_BV	FBgn0264089
2R	11401369	11408218	sli_6.7_BR	FBgn0264089
2R	11403132	11403973	sli_840_Vd	FBgn0264089
2R	2942898	2943326	so_so10	FBgn0003460
2R	2942898	2944510	so_so7	FBgn0003460
2R	7310179	7310522	ths_CG12443_broad_lateral_neurogenic_ectoderm	FBgn0033652
2R	7310128	7310636	ths_Neu4_early_embryonic_enhancer	FBgn0033652
2R	18552504	18553919	twi_dl_mel	FBgn0003900
2R	4711060	4713573	unpg_U6	FBgn0015561
2R	8404782	8405535	vg_boundary_enhancer	FBgn0003975
2R	8404782	8405141	vg_minimal_boundary_enhancer	FBgn0003975
2R	8412080	8412877	vg_quadrant_enhancer	FBgn0003975
3L	16442449	16442741	argos_aos292	FBgn0004569
3L	16441970	16442893	argos_aos923	FBgn0004569
3L	14937787	14937964	Brd_0.19	FBgn0000216
3L	14936477	14937964	Brd_1.5	FBgn0000216
3L	14937053	14937585	Brd_A	FBgn0000216
3L	14042259	14042386	btl_P	FBgn0005592
3L	14041678	14041892	btl_P[B23]	FBgn0005592
3L	14041892	14042016	btl_P[B4]	FBgn0005592
3L	15811786	15812948	CG32150_PE	FBgn0052150
3L	8947951	8950318	CG5064_srp68prom	FBgn0035947
3L	8702308	8702473	Cp15_s15_promoter	FBgn0000355
3L	15496248	15497350	CrebA_CrebA-1100	FBgn0004396
3L	15495504	15496270	CrebA_CrebA-770	FBgn0004396
3L	14138294	14140019	D_(+5)	FBgn0026143
3L	14138379	14139127	D_D/fsh_O-E	FBgn0026143
3L	3352354	3353150	Drs_prom	FBgn0283461
3L	15476123	15476323	Eip71CD_188	FBgn0000565
3L	15478524	15482226	Eip71CD_3'Eip	FBgn0000565
3L	15475688	15476323	Eip71CD_657	FBgn0000565
3L	14063391	14063461	Fbp1_enhancer	FBgn0000639
3L	14271423	14271922	fz_peak_+31.8	FBgn0001085
3L	14290916	14291415	fz_peak_+51.3	FBgn0001085
3L	14308965	14309464	fz_peak_+69.4	FBgn0001085
3L	14225828	14226327	fz_peak_-13.8	FBgn0001085
3L	19113915	19114514	fz2_peak_-3.0	FBgn0016797
3L	8681505	8684936	h_D-h	FBgn0002570
3L	8639024	8639956	h_h7_element	FBgn0002570
3L	8632016	8632515	h_peak_-18.0	FBgn0002570
3L	8637476	8639221	h_stripe_3+4_ET22	FBgn0002570
3L	8640796	8641343	h_stripe_6	FBgn0002570
3L	8640257	8641338	h_stripe_6+2	FBgn0002570
3L	8661437	8661907	h_stripe0	FBgn0002570
3L	8644871	8645747	h_stripe1	FBgn0002570
3L	8638309	8638785	h_stripe3_ET38	FBgn0002570
3L	8644026	8644590	h_stripe5	FBgn0002570
3L	872601	875602	h_V-h	FBgn0002570
3L	9778295	9778590	Ilp4_Mes3_early_embryonic_enhancer	FBgn0044049
3L	15004578	15005994	ind_1.4	FBgn0025776
3L	15004578	15005001	ind_moduleA	FBgn0025776
3L	15004578	15005564	ind_moduleAB	FBgn0025776
3L	15004912	15005994	ind_moduleBC	FBgn0025776
3L	15005234	15005994	ind_moduleC+	FBgn0025776
3L	10972305	10972668	klu_klu363	FBgn0013469
3L	10972230	10972790	klu_klu560	FBgn0013469
3L	20627795	20629274	kni_+1_construct	FBgn0001320
3L	20631255	20631412	kni_223	FBgn0001320
3L	20633343	20634746	kni_-5_construct	FBgn0001320
3L	20631189	20631256	kni_64	FBgn0001320
3L	20630383	20631253	kni_KD	FBgn0001320
3L	20640521	20641881	kni_L2_enhancer	FBgn0001320
3L	20545731	20547029	knrl_+8_construct	FBgn0001323
3L	20553044	20553543	knrl_peak_+0.8	FBgn0001323
3L	9941870	9942834	Nc_dronc_0.52kb	FBgn0026404
3L	7821288	7825702	Pdp1_1st_intron_enhancer	FBgn0016694
3L	7809872	7820964	Pdp1_2nd_intron_enhancer	FBgn0016694
3L	16693233	16693749	PGRP-SB1_prom	FBgn0043578
3L	6696366	6699459	ple_3kb	FBgn0005626
3L	8719967	8720928	Prm_-1.7/-0.76	FBgn0003149
3L	8720608	8721535	Prm_DME	FBgn0003149
3L	1445655	1446016	rho_MLE	FBgn0004635
3L	1445655	1446406	rho_MLE-long	FBgn0004635
3L	1445354	1445653	rho_NEE	FBgn0004635
3L	1445339	1445666	rho_NEE-300	FBgn0004635
3L	1445139	1445728	rho_NEE-600	FBgn0004635
3L	1439060	1442941	rho_PE	FBgn0004635
3L	18363661	18364909	rpr_1.2	FBgn0011706
3L	18366903	18367498	rpr_4S1	FBgn0011706
3L	18365858	18366535	rpr_4S3	FBgn0011706
3L	18365454	18366054	rpr_4S4	FBgn0011706
3L	18364910	18365574	rpr_4S5	FBgn0011706
3L	18364495	18365090	rpr_4S6	FBgn0011706
3L	18363953	18364652	rpr_4S7	FBgn0011706
3L	3956021	3963442	scrt_sA	FBgn0004880
3L	3962922	3968314	scrt_sC	FBgn0004880
3L	3966184	3968314	scrt_sE	FBgn0004880
3L	3963441	3966185	scrt_sF	FBgn0004880
3L	11483574	11483767	Sgs7_enhancer	FBgn0003377
3L	20999788	21001682	siz_loner/CG32434-PE	FBgn0026179
3L	5809617	5810114	vn_neurogenic_ectoderm	FBgn0003984
3L	6758912	6759427	vvl_dfr_autoregulatory	FBgn0086680
3L	16638367	16639709	zeta-COP_zetaCOP_prom	FBgn0040512
3R	12636229	12637974	abd-A_iab-2(1.7)	FBgn0000014
3R	12671849	12672348	abd-A_peak_-17.6	FBgn0000014
3R	12690599	12691198	abd-A_peak_-36.4	FBgn0000014
3R	12643148	12643682	abd-A_PRE_iab-2	FBgn0000014
3R	12704132	12705151	Abd-B_IAB5	FBgn0000015
3R	12741361	12742091	Abd-B_IAB7	FBgn0000015
3R	12747046	12749719	Abd-B_IAB8	FBgn0000015
3R	12732099	12732598	Abd-B_peak_+26.9	FBgn0000015
3R	12727749	12728348	Abd-B_peak_+31.1	FBgn0000015
3R	12717499	12718098	Abd-B_peak_+41.4	FBgn0000015
3R	12770699	12771198	Abd-B_peak_-11.7	FBgn0000015
3R	2912166	2913020	alphaTub84B_alpha1-tubulin_promoter	FBgn0003884
3R	2912234	2912262	alphaTub84B_alpha1-tubulin_TE1	FBgn0003884
3R	2912166	2912233	alphaTub84B_alpha1-tubulin_TE2	FBgn0003884
3R	2803145	2803644	Antp_peak_+22.6	FBgn0260642
3R	2792845	2793344	Antp_peak_+32.9	FBgn0260642
3R	2791395	2791994	Antp_peak_+34.3	FBgn0260642
3R	2755298	2755797	Antp_peak_+71.3	FBgn0260642
3R	4104814	4111545	ato_3'F5.8	FBgn0010433
3R	4101301	4103861	ato_5'F2.6	FBgn0010433
3R	4098334	4103861	ato_5'F5.1	FBgn0010433
3R	4096370	4103861	ato_5'F7.2	FBgn0010433
3R	4093522	4103861	ato_5'F9.3	FBgn0010433
3R	4099896	4100264	ato_RE	FBgn0010433
3R	17216733	17217194	bap_bap3	FBgn0004862
3R	17216930	17217197	bap_bap3.2	FBgn0004862
3R	17217193	17220837	bap_bapDS3.5	FBgn0004862
3R	17209494	17214451	bap_baplac4.5	FBgn0004862
3R	2585167	2585216	bcd_49bg-Z	FBgn0000166
3R	5235924	5236002	betaTub85D_-53/+23	FBgn0003889
3R	26036277	26036669	CecA1_prom	FBgn0000276
3R	27135087	27135307	CG11339_EVIII	FBgn0085376
3R	19020989	19022410	cnc_+5_construct	FBgn0262975
3R	19018254	19018753	cnc_peak_-1.7	FBgn0262975
3R	2611056	2613714	Dfd_EAE	FBgn0000439
3R	2611056	2611351	Dfd_EAE-A	FBgn0000439
3R	2611720	2612291	Dfd_EAE-C	FBgn0000439
3R	2612290	2613122	Dfd_EAE-D	FBgn0000439
3R	2613121	2613237	Dfd_EAE-E	FBgn0000439
3R	2613316	2613708	Dfd_EAE-F2	FBgn0000439
3R	2613236	2613565	Dfd_EAE-F9	FBgn0000439
3R	2613385	2613463	Dfd_EAE-M	FBgn0000439
3R	2625695	2626305	Dfd_NAE	FBgn0000439
3R	2595205	2595804	Dfd_peak_-22.1	FBgn0000439
3R	4478576	4478666	Dhod_ds1-del975	FBgn0000447
3R	21861312	21862672	E(spl)_m8_dl_mel	FBgn0000591
3R	21864776	21865879	E(spl)_PNC	FBgn0000591
3R	2510001	2510022	Edg84A_AERI	FBgn0000552
3R	2509993	2510220	Edg84A_EDG84D017LZ	FBgn0000552
3R	2510064	2510220	Edg84A_EDG84D01LZ	FBgn0000552
3R	2509767	2510220	Edg84A_EDG84D04LZ	FBgn0000552
3R	9723514	9724758	ems_ARFE	FBgn0000576
3R	9730941	9731282	ems_dfd-wt Jones_Genes_Dev_1993	FBgn0000576
3R	9720484	9720788	ems_elementIV	FBgn0000576
3R	9723767	9723905	ems_ems_ARFE-subA	FBgn0000576
3R	24411718	24413426	fkh_-2_construct	FBgn0000659
3R	24419138	24419645	fkh_frag1-506	FBgn0000659
3R	24418641	24419426	fkh_frag219-1008	FBgn0000659
3R	24418641	24419138	fkh_frag507-1008	FBgn0000659
3R	24415008	24418642	fkh_hindgut_enhancer	FBgn0000659
3R	24418641	24419645	fkh_salivary_gland_enhancer	FBgn0000659
3R	2692340	2694035	ftz_3prime_element	FBgn0001077
3R	2693264	2694696	ftz_CE8024	FBgn0001077
3R	2683958	2685130	ftz_distal_enhancer	FBgn0001077
3R	2693514	2694767	ftz_ftzDE	FBgn0001077
3R	2687125	2689375	ftz_neurogenic_enhancer	FBgn0001077
3R	2685792	2686116	ftz_Prox-323	FBgn0001077
3R	2685408	2685988	ftz_proxA	FBgn0001077
3R	2683628	2684041	ftz_ps4_activator	FBgn0001077
3R	2683632	2686194	ftz_upstream_enhancer	FBgn0001077
3R	2689374	2690119	ftz_zebra_element	FBgn0001077
3R	4519890	4520620	hb_0.7	FBgn0001180
3R	4520375	4520620	hb_anterior_activator	FBgn0001180
3R	4526521	4527942	hb_HZ1.4	FBgn0001180
3R	4526519	4526862	hb_HZ340	FBgn0001180
3R	4526860	4527388	hb_HZ526	FBgn0001180
3R	4523048	4524207	hb_P1_promoter	FBgn0001180
3R	4507739	4508238	hb_peak_+15.3	FBgn0001180
3R	4536139	4536638	hb_peak_-13.1	FBgn0001180
3R	4526521	4527945	hb_upstream_enhancer	FBgn0001180
3R	18961427	18961629	hh_bar3L2	FBgn0004644
3R	18966304	18966803	hh_peak_+0.5	FBgn0004644
3R	18960438	18961852	hh_photoreceptor	FBgn0004644
3R	174317	174479	hkb_VAE	FBgn0261434
3R	173890	174479	hkb_ventral_element_plus	FBgn0261434
3R	21862277	21862821	HLHm7_m7-0.5	FBgn0002633
3R	21831717	21832595	HLHmbeta_enhancer	FBgn0002733
3R	21825188	21825421	HLHmgamma_HZmgammaKX	FBgn0002735
3R	13875599	13876391	htl_early	FBgn0010389
3R	25865087	25865295	janA_JA-56	FBgn0001280
3R	25864206	25864635	janB_JBbetaH	FBgn0001281
3R	25864354	25864810	janB_JBbetaSX	FBgn0001281
3R	2504282	2507911	lab_3.6	FBgn0261930
3R	2507116	2507663	lab_HZ550	FBgn0261930
3R	2507118	2507664	lab_lab550	FBgn0261930
3R	18452212	18454484	loco_1.3-GAL4	FBgn0020278
3R	18452212	18454578	loco_glial_enhancer	FBgn0020278
3R	18452688	18454578	loco_Rrk-lacZ	FBgn0020278
3R	21850352	21850632	m4_HZm4	FBgn0002629
3R	21835525	21836544	malpha_PNC	FBgn0002732
3R	15757262	15762495	mira_PE	FBgn0021776
3R	3191416	3191616	Mst84Da_-152/+53	FBgn0004172
3R	15714140	15714367	ninaE_distal_enhancer1	FBgn0002940
3R	15714077	15714137	ninaE_distal_enhancer2	FBgn0002940
3R	15713856	15714043	ninaE_proximal_promoter_region	FBgn0002940
3R	1930908	1933911	Obp83cd_Obp83c_prom	FBgn0046878
3R	1936728	1939729	Obp83ef_Obp83f_prom	FBgn0046876
3R	25494672	25497442	Obp99a_prom	FBgn0039678
3R	25542507	25545503	Obp99b_prom	FBgn0039682
3R	679824	680323	opa_peak_+1.3	FBgn0003002
3R	2562972	2565217	pb_0.5+pbZR	FBgn0051481
3R	2562130	2562973	pb_0.8+pbZR	FBgn0051481
3R	2549099	2559518	pb_10.6+HZR	FBgn0051481
3R	2561619	2565446	pb_2.1+pbZR	FBgn0051481
3R	2563023	2563072	pb_labial_disc_element	FBgn0051481
3R	2567279	2567876	pb_promoter	FBgn0051481
3R	7188932	7190152	pros_eye_enhancer	FBgn0004595
3R	14060798	14061816	repo_-1.1	FBgn0011701
3R	14059984	14061816	repo_-1.9	FBgn0011701
3R	14057605	14059985	repo_-4.3/-1.9	FBgn0011701
3R	2686195	2687012	Scr_0.8XH	FBgn0003339
3R	2710985	2721405	Scr_10.0XX	FBgn0003339
3R	2678907	2681359	Scr_2.4HH	FBgn0003339
