Chr	Start	End	CRMName	GeneName
2L	3821715	3822337	slp1_5-3	slp1
2L	3820280	3821016	slp1_5-4	slp1
2L	3824595	3824967	slp1_slp_A	slp1
2L	3828817	3829610	slp1_slp_B	slp1
2L	3832697	3835337	slp2_-3_construct	slp2
2L	15474099	15475067	sna_0.9	sna
2L	15474099	15477011	sna_2.8kb	sna
2L	15469704	15472604	sna_dl_mel	sna
2L	15475159	15475770	sna_VA	sna
2L	4374717	4375544	Traf1_PE	Traf1
2L	21840964	21841185	tsh_220bp	tsh
2L	21840558	21841021	tsh_del-1-5	tsh
2L	21839108	21841252	tsh_enhancer	tsh
2L	21881569	21882068	tsh_peak_+64.9	tsh
2L	21803419	21803918	tsh_peak_-13.3	tsh
2L	5960439	5960954	Vm26Aa__del-DCE1	Vm26Aa
2L	5960512	5960687	Vm26Aa_ICE	Vm26Aa
2L	5960359	5960954	Vm26Aa_regulatory_region	Vm26Aa
2L	11171704	11171777	Vm32E_-112/-39	Vm32E
2L	11171704	11171800	Vm32E_-135/-39	Vm32E
2L	11170432	11171914	Vm32E_-249	Vm32E
2L	11171704	11171918	Vm32E_-253/-39	Vm32E
2L	11171704	11172013	Vm32E_-348/-39	Vm32E
2L	11171703	11172130	Vm32E_-425/-39	Vm32E
2L	11171784	11172130	Vm32E_-465/-119	Vm32E
2L	11171736	11172130	Vm32E_-465/-71	Vm32E
2L	7302330	7303350	wg_del-wg	wg
2L	7313287	7313786	wg_peak_+6.1	wg
2L	7298837	7299336	wg_peak_-8.3	wg
2L	7302330	7307600	wg_WLZ4.5L	wg
2R	2013528	2014192	1.28_DRE	1.28
2R	16451016	16451611	Act57B_-539/+2	Act57B
2R	2758176	2758393	Ady43A_mesoderm	Ady43A
2R	1216942	1217622	ap_ApME680	ap
2R	1218362	1219597	ap_brain	ap
2R	10261724	10262253	AttA_prom	AttA
2R	14965023	14966342	betaTub56D_AS1	betaTub56D
2R	14964387	14965024	betaTub56D_AS2	betaTub56D
2R	14963537	14964388	betaTub56D_AS3	betaTub56D
2R	19811784	19812119	betaTub60D_b3-lac333	betaTub60D
2R	19811784	19812234	betaTub60D_b3-lac449	betaTub60D
2R	19817139	19817497	betaTub60D_beta3-13	betaTub60D
2R	19816619	19817143	betaTub60D_beta3-14/vm1	betaTub60D
2R	19816714	19816980	betaTub60D_beta3-17	betaTub60D
2R	16112740	16113103	bl_bl/Mir7_O-E	bl
2R	10645741	10649094	chn_CG11798-PE	chn
2R	10647163	10648276	chn_SOP	chn
2R	5221315	5222237	dap_dap3'2'	dap
2R	5220270	5222237	dap_dap-4'2'	dap
2R	5222213	5224212	dap_dap-5'-2R	dap
2R	5222213	5224746	dap_dap-5'-2R+UTR	dap
2R	5225340	5226748	dap_dap-B	dap
2R	5225340	5225906	dap_dap-BB	dap
2R	5226211	5226748	dap_dap-del	dap
2R	5225885	5226748	dap_dap-HB	dap
2R	5224885	5226748	dap_dap-SB	dap
2R	5566370	5567021	Def_prom	Def
2R	20314822	20319005	Dll_179	Dll
2R	20305645	20309454	Dll_207	Dll
2R	20310383	20314823	Dll_208	Dll
2R	20309454	20310383	Dll_215	Dll
2R	20310382	20311259	Dll_304	Dll
2R	20331766	20333841	Dll_ETD2b	Dll
2R	20346424	20352301	Dll_ETD6	Dll
2R	3743511	3746280	dpn_dC	dpn
2R	3747582	3749307	dpn_dF	dpn
2R	1686466	1690622	EcR_AB	EcR
2R	1679043	1690622	EcR_AG	EcR
2R	1683963	1687831	EcR_BD	EcR
2R	1683252	1686409	EcR_CE	EcR
2R	1679043	1685323	EcR_DG	EcR
2R	14186167	14187548	edl_PE	edl
2R	7041545	7042265	en_intron	en
2R	7043749	7043787	en_mimimal_promoter	en
2R	7037169	7037668	en_peak_+6.1	en
2R	7041187	7042087	en_stripe_enhancer_intron_1	en
2R	7043790	7046191	en_upstream_enhancer	en
2R	5494669	5495453	eve_CQ/late_APR	eve
2R	5493755	5494670	eve_early_APR	eve
2R	5493050	5494151	eve_EL	eve
2R	5497247	5497547	eve_eme2	eve
2R	5497174	5497569	eve_EME-B	eve
2R	5497307	5497569	eve_EME-B3	eve
2R	5497174	5497407	eve_EME-B5	eve
2R	5492649	5493756	eve_ftz-like	eve
2R	5492754	5494554	eve_late_element_2_even7	eve
2R	5485751	5485856	eve_mas	eve
2R	5497096	5497408	eve_MHE	eve
2R	5498988	5500381	eve_neuronal	eve
2R	5490927	5491134	eve_proximal_promoter_inc._TATA	eve
2R	5498988	5499546	eve_RP_eve	eve
2R	5487313	5487824	eve_stripe_3+7	eve
2R	5497747	5498548	eve_stripe1	eve
2R	5489574	5490058	eve_stripe2	eve
2R	5495711	5496511	eve_stripe4_6	eve
2R	5498537	5499341	eve_stripe5	eve
2R	20564953	20571208	gsb_2.8S	gsb
2R	20564438	20564954	gsb_fragIV	gsb
2R	20566397	20567129	gsb_GLE	gsb
2R	20561006	20562992	gsb-n_gsbnE	gsb-n
2R	19379120	19379619	ken_peak_+1.2	ken
2R	10326759	10327894	kn_701-1835	kn
2R	10326603	10327894	kn_wing	kn
2R	20730218	20731377	Kr_CD1	Kr
2R	20733665	20734615	Kr_H/I	Kr
2R	20731858	20733358	Kr_H/J	Kr
2R	20731192	20731783	Kr_HBg0.6HZ	Kr
2R	20733979	20735566	Kr_Kr/F	Kr
2R	20731651	20733358	Kr_NcS1.7HZ	Kr
2R	20725021	20728155	Kr_PP3.OHZ	Kr
2R	20733357	20735100	Kr_SN1.7KrZ	Kr
2R	20730653	20731783	Kr_StBg1.2HZ	Kr
2R	20730653	20731193	Kr_StH0.6HZ	Kr
2R	5443668	5443844	Mef2_adepithelial_enhancer	Mef2
2R	5447811	5448293	Mef2_GE491	Mef2
2R	5443342	5443803	Mef2_I-D[L]	Mef2
2R	5443521	5443803	Mef2_I-D[s]	Mef2
2R	5443798	5444357	Mef2_I-E	Mef2
2R	5447092	5447329	Mef2_IIA237	Mef2
2R	5447052	5447329	Mef2_IIA277	Mef2
2R	5446779	5447476	Mef2_II-B[L]	Mef2
2R	5446779	5447476	Mef2_II-B[S]	Mef2
2R	5449421	5450525	Mef2_II-E	Mef2
2R	5447049	5447412	Mef2_minimal_composite_(#8)	Mef2
2R	10923363	10923738	Mtk_prom	Mtk
2R	15209629	15212649	Obp56a_prom	Obp56a
2R	15214163	15216176	Obp56b_prom	Obp56b
2R	15215644	15218047	Obp56c_prom	Obp56c
2R	15218611	15221612	Obp56d_prom	Obp56d
2R	15224260	15227261	Obp56e_prom	Obp56e
2R	15298881	15301832	Obp56g_prom	Obp56g
2R	15328631	15330441	Obp56h_prom	Obp56h
2R	16017031	16020033	Obp57a_prom	Obp57a
2R	16016128	16019130	Obp57b_prom	Obp57b
2R	16015530	16018531	Obp57c_prom	Obp57c
2R	16063947	16066750	Obp57d_prom	Obp57d
2R	16063152	16066159	Obp57e_prom	Obp57e
2R	16406610	16407051	otp_C	otp
2R	16406100	16406610	otp_P	otp
2R	19495424	19495867	Phm_mesoderm	Phm
2R	11345235	11351364	Poxn_1	Poxn
2R	11345235	11346306	Poxn_2	Poxn
2R	11349292	11352912	Poxn_3	Poxn
2R	11351363	11354165	Poxn_4	Poxn
2R	11352911	11358115	Poxn_5	Poxn
2R	11352911	11354165	Poxn_6	Poxn
2R	11354164	11355362	Poxn_7	Poxn
2R	11355361	11358115	Poxn_8	Poxn
2R	11349637	11350138	Poxn_9	Poxn
2R	10132295	10134306	Sec61beta_Sec61beta_prom	Sec61beta
2R	11404815	11405756	sli_0.9_NC	sli
2R	11403016	11403973	sli_1.0_HV	sli
2R	11404630	11405756	sli_1.2_NM	sli
2R	11401369	11403017	sli_1.5_BH	sli
2R	11403972	11405756	sli_1.8_NV	sli
2R	11408217	11410441	sli_2.2_BR	sli
2R	11405651	11408218	sli_2.6_RV	sli
2R	11403519	11403900	sli_380_dNc	sli
2R	11405651	11410441	sli_4.8_BV	sli
2R	11401369	11408218	sli_6.7_BR	sli
2R	11403132	11403973	sli_840_Vd	sli
2R	2942898	2943326	so_so10	so
2R	2942898	2944510	so_so7	so
2R	7310179	7310522	ths_CG12443_broad_lateral_neurogenic_ectoderm	ths
2R	7310128	7310636	ths_Neu4_early_embryonic_enhancer	ths
2R	18552504	18553919	twi_dl_mel	twi
2R	4711060	4713573	unpg_U6	unpg
2R	8404782	8405535	vg_boundary_enhancer	vg
2R	8404782	8405141	vg_minimal_boundary_enhancer	vg
2R	8412080	8412877	vg_quadrant_enhancer	vg
3L	16442449	16442741	argos_aos292	argos
3L	16441970	16442893	argos_aos923	argos
3L	14937787	14937964	Brd_0.19	Brd
3L	14936477	14937964	Brd_1.5	Brd
3L	14937053	14937585	Brd_A	Brd
3L	14042259	14042386	btl_P	btl
3L	14041678	14041892	btl_P[B23]	btl
3L	14041892	14042016	btl_P[B4]	btl
3L	15811786	15812948	CG32150_PE	CG32150
3L	8947951	8950318	CG5064_srp68prom	CG5064
3L	8702308	8702473	Cp15_s15_promoter	Cp15
3L	15496248	15497350	CrebA_CrebA-1100	CrebA
3L	15495504	15496270	CrebA_CrebA-770	CrebA
3L	14138294	14140019	D_(+5)	D
3L	14138379	14139127	D_D/fsh_O-E	D
3L	3352354	3353150	Drs_prom	Drs
3L	15476123	15476323	Eip71CD_188	Eip71CD
3L	15478524	15482226	Eip71CD_3'Eip	Eip71CD
3L	15475688	15476323	Eip71CD_657	Eip71CD
3L	14063391	14063461	Fbp1_enhancer	Fbp1
3L	14271423	14271922	fz_peak_+31.8	fz
3L	14290916	14291415	fz_peak_+51.3	fz
3L	14308965	14309464	fz_peak_+69.4	fz
3L	14225828	14226327	fz_peak_-13.8	fz
3L	19113915	19114514	fz2_peak_-3.0	fz2
3L	8681505	8684936	h_D-h	h
3L	8639024	8639956	h_h7_element	h
3L	8632016	8632515	h_peak_-18.0	h
3L	8637476	8639221	h_stripe_3+4_ET22	h
3L	8640796	8641343	h_stripe_6	h
3L	8640257	8641338	h_stripe_6+2	h
3L	8661437	8661907	h_stripe0	h
3L	8644871	8645747	h_stripe1	h
3L	8638309	8638785	h_stripe3_ET38	h
3L	8644026	8644590	h_stripe5	h
3L	872601	875602	h_V-h	h
3L	9778295	9778590	Ilp4_Mes3_early_embryonic_enhancer	Ilp4
3L	15004578	15005994	ind_1.4	ind
3L	15004578	15005001	ind_moduleA	ind
3L	15004578	15005564	ind_moduleAB	ind
3L	15004912	15005994	ind_moduleBC	ind
3L	15005234	15005994	ind_moduleC+	ind
3L	10972305	10972668	klu_klu363	klu
3L	10972230	10972790	klu_klu560	klu
3L	20627795	20629274	kni_+1_construct	kni
3L	20631255	20631412	kni_223	kni
3L	20633343	20634746	kni_-5_construct	kni
3L	20631189	20631256	kni_64	kni
3L	20630383	20631253	kni_KD	kni
3L	20640521	20641881	kni_L2_enhancer	kni
3L	20545731	20547029	knrl_+8_construct	knrl
3L	20553044	20553543	knrl_peak_+0.8	knrl
3L	9941870	9942834	Nc_dronc_0.52kb	Nc
3L	7821288	7825702	Pdp1_1st_intron_enhancer	Pdp1
3L	7809872	7820964	Pdp1_2nd_intron_enhancer	Pdp1
3L	16693233	16693749	PGRP-SB1_prom	PGRP-SB1
3L	6696366	6699459	ple_3kb	ple
3L	8719967	8720928	Prm_-1.7/-0.76	Prm
3L	8720608	8721535	Prm_DME	Prm
3L	1445655	1446016	rho_MLE	rho
3L	1445655	1446406	rho_MLE-long	rho
3L	1445354	1445653	rho_NEE	rho
3L	1445339	1445666	rho_NEE-300	rho
3L	1445139	1445728	rho_NEE-600	rho
3L	1439060	1442941	rho_PE	rho
3L	18363661	18364909	rpr_1.2	rpr
3L	18366903	18367498	rpr_4S1	rpr
3L	18365858	18366535	rpr_4S3	rpr
3L	18365454	18366054	rpr_4S4	rpr
3L	18364910	18365574	rpr_4S5	rpr
3L	18364495	18365090	rpr_4S6	rpr
3L	18363953	18364652	rpr_4S7	rpr
3L	3956021	3963442	scrt_sA	scrt
3L	3962922	3968314	scrt_sC	scrt
3L	3966184	3968314	scrt_sE	scrt
3L	3963441	3966185	scrt_sF	scrt
3L	11483574	11483767	Sgs7_enhancer	Sgs7
3L	20999788	21001682	siz_loner/CG32434-PE	siz
3L	5809617	5810114	vn_neurogenic_ectoderm	vn
3L	6758912	6759427	vvl_dfr_autoregulatory	vvl
3L	16638367	16639709	zeta-COP_zetaCOP_prom	zeta-COP
3R	12636229	12637974	abd-A_iab-2(1.7)	abd-A
3R	12671849	12672348	abd-A_peak_-17.6	abd-A
3R	12690599	12691198	abd-A_peak_-36.4	abd-A
3R	12643148	12643682	abd-A_PRE_iab-2	abd-A
3R	12704132	12705151	Abd-B_IAB5	Abd-B
3R	12741361	12742091	Abd-B_IAB7	Abd-B
3R	12747046	12749719	Abd-B_IAB8	Abd-B
3R	12732099	12732598	Abd-B_peak_+26.9	Abd-B
3R	12727749	12728348	Abd-B_peak_+31.1	Abd-B
3R	12717499	12718098	Abd-B_peak_+41.4	Abd-B
3R	12770699	12771198	Abd-B_peak_-11.7	Abd-B
3R	2912166	2913020	alphaTub84B_alpha1-tubulin_promoter	alphaTub84B
3R	2912234	2912262	alphaTub84B_alpha1-tubulin_TE1	alphaTub84B
3R	2912166	2912233	alphaTub84B_alpha1-tubulin_TE2	alphaTub84B
3R	2803145	2803644	Antp_peak_+22.6	Antp
3R	2792845	2793344	Antp_peak_+32.9	Antp
3R	2791395	2791994	Antp_peak_+34.3	Antp
3R	2755298	2755797	Antp_peak_+71.3	Antp
3R	4104814	4111545	ato_3'F5.8	ato
3R	4101301	4103861	ato_5'F2.6	ato
3R	4098334	4103861	ato_5'F5.1	ato
3R	4096370	4103861	ato_5'F7.2	ato
3R	4093522	4103861	ato_5'F9.3	ato
3R	4099896	4100264	ato_RE	ato
3R	17216733	17217194	bap_bap3	bap
3R	17216930	17217197	bap_bap3.2	bap
3R	17217193	17220837	bap_bapDS3.5	bap
3R	17209494	17214451	bap_baplac4.5	bap
3R	2585167	2585216	bcd_49bg-Z	bcd
3R	5235924	5236002	betaTub85D_-53/+23	betaTub85D
3R	26036277	26036669	CecA1_prom	CecA1
3R	27135087	27135307	CG11339_EVIII	CG11339
3R	19020989	19022410	cnc_+5_construct	cnc
3R	19018254	19018753	cnc_peak_-1.7	cnc
3R	2611056	2613714	Dfd_EAE	Dfd
3R	2611056	2611351	Dfd_EAE-A	Dfd
3R	2611720	2612291	Dfd_EAE-C	Dfd
3R	2612290	2613122	Dfd_EAE-D	Dfd
3R	2613121	2613237	Dfd_EAE-E	Dfd
3R	2613316	2613708	Dfd_EAE-F2	Dfd
3R	2613236	2613565	Dfd_EAE-F9	Dfd
3R	2613385	2613463	Dfd_EAE-M	Dfd
3R	2625695	2626305	Dfd_NAE	Dfd
3R	2595205	2595804	Dfd_peak_-22.1	Dfd
3R	4478576	4478666	Dhod_ds1-del975	Dhod
3R	21861312	21862672	E(spl)_m8_dl_mel	E(spl)
3R	21864776	21865879	E(spl)_PNC	E(spl)
3R	2510001	2510022	Edg84A_AERI	Edg84A
3R	2509993	2510220	Edg84A_EDG84D017LZ	Edg84A
3R	2510064	2510220	Edg84A_EDG84D01LZ	Edg84A
3R	2509767	2510220	Edg84A_EDG84D04LZ	Edg84A
3R	9723514	9724758	ems_ARFE	ems
3R	9730941	9731282	ems_dfd-wt Jones_Genes_Dev_1993	ems
3R	9720484	9720788	ems_elementIV	ems
3R	9723767	9723905	ems_ems_ARFE-subA	ems
3R	24411718	24413426	fkh_-2_construct	fkh
3R	24419138	24419645	fkh_frag1-506	fkh
3R	24418641	24419426	fkh_frag219-1008	fkh
3R	24418641	24419138	fkh_frag507-1008	fkh
3R	24415008	24418642	fkh_hindgut_enhancer	fkh
3R	24418641	24419645	fkh_salivary_gland_enhancer	fkh
3R	2692340	2694035	ftz_3prime_element	ftz
3R	2693264	2694696	ftz_CE8024	ftz
3R	2683958	2685130	ftz_distal_enhancer	ftz
3R	2693514	2694767	ftz_ftzDE	ftz
3R	2687125	2689375	ftz_neurogenic_enhancer	ftz
3R	2685792	2686116	ftz_Prox-323	ftz
3R	2685408	2685988	ftz_proxA	ftz
3R	2683628	2684041	ftz_ps4_activator	ftz
3R	2683632	2686194	ftz_upstream_enhancer	ftz
3R	2689374	2690119	ftz_zebra_element	ftz
3R	4519890	4520620	hb_0.7	hb
3R	4520375	4520620	hb_anterior_activator	hb
3R	4526521	4527942	hb_HZ1.4	hb
3R	4526519	4526862	hb_HZ340	hb
3R	4526860	4527388	hb_HZ526	hb
3R	4523048	4524207	hb_P1_promoter	hb
3R	4507739	4508238	hb_peak_+15.3	hb
3R	4536139	4536638	hb_peak_-13.1	hb
3R	4526521	4527945	hb_upstream_enhancer	hb
3R	18961427	18961629	hh_bar3L2	hh
3R	18966304	18966803	hh_peak_+0.5	hh
3R	18960438	18961852	hh_photoreceptor	hh
3R	174317	174479	hkb_VAE	hkb
3R	173890	174479	hkb_ventral_element_plus	hkb
3R	21862277	21862821	HLHm7_m7-0.5	HLHm7
3R	21831717	21832595	HLHmbeta_enhancer	HLHmbeta
3R	21825188	21825421	HLHmgamma_HZmgammaKX	HLHmgamma
3R	13875599	13876391	htl_early	htl
3R	25865087	25865295	janA_JA-56	janA
3R	25864206	25864635	janB_JBbetaH	janB
3R	25864354	25864810	janB_JBbetaSX	janB
3R	2504282	2507911	lab_3.6	lab
3R	2507116	2507663	lab_HZ550	lab
3R	2507118	2507664	lab_lab550	lab
3R	18452212	18454484	loco_1.3-GAL4	loco
3R	18452212	18454578	loco_glial_enhancer	loco
3R	18452688	18454578	loco_Rrk-lacZ	loco
3R	21850352	21850632	m4_HZm4	m4
3R	21835525	21836544	malpha_PNC	malpha
3R	15757262	15762495	mira_PE	mira
3R	3191416	3191616	Mst84Da_-152/+53	Mst84Da
3R	15714140	15714367	ninaE_distal_enhancer1	ninaE
3R	15714077	15714137	ninaE_distal_enhancer2	ninaE
3R	15713856	15714043	ninaE_proximal_promoter_region	ninaE
3R	1930908	1933911	Obp83cd_Obp83c_prom	Obp83cd
3R	1936728	1939729	Obp83ef_Obp83f_prom	Obp83ef
3R	25494672	25497442	Obp99a_prom	Obp99a
3R	25542507	25545503	Obp99b_prom	Obp99b
3R	679824	680323	opa_peak_+1.3	opa
3R	2562972	2565217	pb_0.5+pbZR	pb
3R	2562130	2562973	pb_0.8+pbZR	pb
3R	2549099	2559518	pb_10.6+HZR	pb
3R	2561619	2565446	pb_2.1+pbZR	pb
3R	2563023	2563072	pb_labial_disc_element	pb
3R	2567279	2567876	pb_promoter	pb
3R	7188932	7190152	pros_eye_enhancer	pros
3R	14060798	14061816	repo_-1.1	repo
3R	14059984	14061816	repo_-1.9	repo
3R	14057605	14059985	repo_-4.3/-1.9	repo
3R	2686195	2687012	Scr_0.8XH	Scr
3R	2710985	2721405	Scr_10.0XX	Scr
3R	2678907	2681359	Scr_2.4HH	Scr
3R	2676213	2678885	Scr_2.6HH	Scr
3R	2676485	2679449	Scr_3.0RR	Scr
3R	2683242	2686194	Scr_3.0XX	Scr
3R	2690617	2694039	Scr_3.5SK	Scr
3R	2696327	2700152	Scr_3.7HH	Scr
3R	2660685	2666080	Scr_5.4BB	Scr
3R	2681360	2687012	Scr_5.5HH	Scr
3R	2692761	2698270	Scr_5.6BB	Scr
3R	2683633	2690617	Scr_6.5KS	Scr
3R	2647441	2654173	Scr_6.7BB	Scr
3R	2699430	2706220	Scr_7.0RR	Scr
3R	2704247	2711829	Scr_7.6HH	Scr
3R	2653765	2661845	Scr_8.2XX	Scr
3R	2667896	2676484	Scr_BSR	Scr
3R	23019753	23021951	Ser_I-2.2	Ser
3R	23017325	23024934	Ser_I-7.5	Ser
3R	23033174	23034589	Ser_II-1.3	Ser
3R	23024933	23028638	Ser_II-4.0	Ser
3R	23028637	23033175	Ser_II-4.2	Ser
3R	23024933	23034589	Ser_II-9.5	Ser
3R	23013610	23016661	Ser_IV-3.0	Ser
3R	22997004	22997816	Ser_minimal_wing_enhancer	Ser
3R	23011596	23013611	Ser_V-1.9	Ser
3R	8895835	8896466	sim_mesectoderm	sim
3R	14999939	15001301	sqz_CE8027	sqz
3R	11817731	11818200	srp_A7.1EB	srp
3R	11817731	11818879	srp_A7.1ES	srp
3R	25865294	25865541	Sry-beta_-117	Sry-beta
3R	25865273	25865409	Sry-beta_-140	Sry-beta
3R	25090535	25096418	stg_b-B5.8	stg
3R	25094577	25097298	stg_b-E2.6	stg
3R	25082447	25087448	stg_b-E4.9	stg
3R	25097297	25103162	stg_b-E5.3	stg
3R	25088622	25089791	stg_HZ-BEa1.2	stg
3R	10420010	10421523	stumps_hbr_DME	stumps
3R	10423059	10424098	stumps_hbr_early	stumps
3R	10420010	10421723	stumps_hbr_Tracheal	stumps
3R	17208182	17208487	tin_Henh1	tin
3R	17208228	17208590	tin_Henh2	tin
3R	17207681	17208297	tin_tin103A	tin
3R	17207968	17208592	tin_tin103B	tin
3R	17208288	17208819	tin_tin103C	tin
3R	17207307	17208183	tin_tin56	tin
3R	17205155	17205671	tin_tinA	tin
3R	17205818	17206001	tin_tinB-180	tin
3R	17205670	17206053	tin_tinB-374	tin
3R	17208067	17208374	tin_tinC	tin
3R	17209340	17209690	tin_tinD	tin
3R	22623476	22625133	Tl_1.7RS	Tl
3R	22615402	22622122	Tl_6.5RL/LR	Tl
3R	22622121	22622722	Tl_600Rd	Tl
3R	22622121	22623072	Tl_950Rd	Tl
3R	22616475	22616779	Tl_Tl305	Tl
3R	20574722	20575519	tld_promoterfusion	tld
3R	26677662	26678030	tll_D3	tll
3R	26677776	26677902	tll_D3.2	tll
3R	26675103	26675738	tll_K10	tll
3R	26673280	26675739	tll_K2	tll
3R	26673281	26674409	tll_K4	tll
3R	26681311	26682298	tll_O-E	tll
3R	26675737	26678501	tll_P2	tll
3R	26676776	26678501	tll_P3	tll
3R	26685829	26686328	tll_peak_+7.7	tll
3R	11136418	11136478	Tm1_MA	Tm1
3R	11136386	11136738	Tm1_PME	Tm1
3R	12570853	12571247	Ubx_2218S	Ubx
3R	12510679	12512480	Ubx_abx1.7	Ubx
3R	12507336	12514242	Ubx_abx6.8	Ubx
3R	12559163	12560352	Ubx_basal_promoter	Ubx
3R	12526645	12527147	Ubx_BRE	Ubx
3R	12525924	12527629	Ubx_bx1	Ubx
3R	12574681	12576274	Ubx_BXD_enhancer	Ubx
3R	12574681	12575384	Ubx_BXD-A	Ubx
3R	12575383	12575910	Ubx_BXD-B	Ubx
3R	12575909	12576275	Ubx_BXD-C	Ubx
3R	12595044	12598445	Ubx_dorsal_imaginal_disc_enhancer	Ubx
3R	12581426	12589360	Ubx_pair_rule_(zebra)_like_S1_enhancer	Ubx
