Pubmed_id	Target gene_species_scientific	Target gene_name	Target gene_Refseq_acc	Target site_number	miRNA_species	miRNA_mature_ID	miRNA_regulation	Reporter_target gene/region	Reporter link element	Test_method_inter	Target gene mRNA_level	Original description	Mutation_target region	Post mutation_method	Original description_mutation_region	Target site_position	miRNA_regulation_site	Reporter_target site	Reporter link element	Test_method_inter_site	Original description_inter_site	Mutation_target site	Post mutation_method_site	Original description_mutation_site	Additional note
14697198	Caenorhabditis elegans	lin-41	NM_001025828	1	Caenorhabditis elegans	cel-let-7							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	4337				{N/A}					
14697198	Caenorhabditis elegans	lin-41	NM_001025828	2	Caenorhabditis elegans	cel-let-7							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	4384				{N/A}					
15066185	Homo sapiens	HES1	NM_005524	1	Homo sapiens	hsa-miR-23a	overexpression by mature miRNA transfection	luciferase	{target site}							1080			{target site}	{activity assay}			{Luciferase activity assay}		The mutation of the first target site can highly downregulate the miRNA's repression function.
15066185	Homo sapiens	HES1	NM_005524	2	Homo sapiens	hsa-miR-23a										1191				{Prediction}					The mutation of the first target site can highly downregulate the miRNA's repression function.
15066185	Homo sapiens	HES1	NM_005524	3	Homo sapiens	hsa-miR-23a										1367				{Prediction}					The mutation of the first target site can highly downregulate the miRNA's repression function.
15066185	Homo sapiens	C21orf33	NM_198155	1	Homo sapiens	hsa-miR-23a		luciferase	{target site}							801			{target site}	{activity assay}			{Luciferase activity assay}		
15845854	[Virus]	unknown	unknown	1	Homo sapiens	hsa-miR-32		GFP	{target site}	{activity assay}	{changed}	{The mRNA levels from the miR-32-resistant virus (PFV-1D32) were three times as high as those from the unmodified virus, consistent with the anti-miR-32 results (Fig. 2, E and C). Therefore, miR-32 exerts a direct, sequence-specific effect against PFV-1.}				unknown	{underexpression by LNA antisense miRNA oligonucleotides}	{luciferase}	{target site}	{Western blot}	{At LNA concentrations of 10 nM, accumulation of PFV-1 mRNAs was higher in the anti-miR-32-treated cells than in the anti-miR-23-treated cells (Fig. 2C). Use of a luciferasebased assay also indicated that the antimiR-32, unlike the anti-miR-23, almost doubled progeny virus production (Fig. 2D).}		{GFP-Western blot}		The target species is virus and there are no information about it's sequence in the paper or in NCBI.
15131085	Homo sapiens	LIN28	NM_024674	1	Homo sapiens	hsa-let-7b	overexpression by siRNA transfection}{mutation	luciferase	{target site}{target site}							1656			{target site}{target site}	{activity assay}{activity assay}			{Luciferase activity assay}{Luciferase activity assay}		
15131085	Homo sapiens	CLOCK	NM_004898	1	Homo sapiens	hsa-miR-141	overexpression by siRNA transfection	luciferase	{target site}							3111			{target site}	{activity assay}					
15131085	Homo sapiens	MAPK14	NM_139014	1	Homo sapiens	hsa-miR-24	overexpression by siRNA transfection	luciferase	{target site}							2035			{target site}	{activity assay}					
15131085	Homo sapiens	PARP8	NM_024615	1	Homo sapiens	hsa-miR-145	overexpression by siRNA transfection	luciferase	{target site}							2737			{target site}	{activity assay}					
15131085	Homo sapiens	C6orf134	NM_024909	1	Homo sapiens	hsa-miR-23a	overexpression by siRNA transfection	luciferase	{target site}							1207			{target site}	{activity assay}					
15131085	Homo sapiens	SMC1A	NM_006306	1	Homo sapiens	hsa-let-7e	overexpression by siRNA transfection	luciferase	{target site}							3861			{target site}	{activity assay}					
15131085	Homo sapiens	DMTF1	NM_021145	1	Homo sapiens	hsa-miR-15a	overexpression by siRNA transfection	luciferase	{target site}							2937			{target site}	{activity assay}					
15131085	Homo sapiens	TPPP3	NM_016140	1	Homo sapiens	hsa-miR-16	overexpression by siRNA transfection	luciferase	{target site}							1077			{target site}	{activity assay}					
15131085	Homo sapiens	LAMC2	NM_005562	1	Homo sapiens	hsa-miR-199b-5p	overexpression by siRNA transfection	luciferase	{target site}							unknown			{target site}	{activity assay}					The target site sequence in the alignment can not be mapped to any candidate gene sequence in NCBI.
15131085	Homo sapiens	FBXW11	NM_033645	1	Homo sapiens	hsa-miR-103	overexpression by siRNA transfection	luciferase	{target site}							4312			{target site}	{activity assay}					
15105502	Homo sapiens	HOXB8	NM_024016	1	Homo sapiens	hsa-miR-196a	overexpression	luciferase	{target site}							1399			{target site}	{activity assay}					
15105502	Homo sapiens	HOXC8	NM_022658	1	Homo sapiens	hsa-miR-196a	overexpression	luciferase	{target site}		{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3B and C).}				2017			{target site}	{activity assay}					
15105502	Homo sapiens	HOXD8	NM_019558	1	Homo sapiens	hsa-miR-196a	overexpression	luciferase	{target site}		{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3B and C).}				1795			{target site}	{activity assay}					
15105502	Homo sapiens	HOXA7	NM_006896	3	Homo sapiens	hsa-miR-196a					{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}				1286				{N/A}					
15105502	Homo sapiens	HOXA7	NM_006896	2	Homo sapiens	hsa-miR-196a					{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}				1171				{N/A}					
15105502	Homo sapiens	HOXA7	NM_006896	1	Homo sapiens	hsa-miR-196a					{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}				1134				{N/A}					
15105502	Homo sapiens	HOXA7	NM_006896	4	Homo sapiens	hsa-miR-196a					{unchanged}{unchanged}	{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}{Segments from all three UTRs imparted miR-196-dependent repression to the luciferase reporter without a substantial decrease in reporter mRNA, indicating predominantly translational inhibition (Fig. 3, B and C).}				1304				{N/A}					
15105502	Mus musculus	Hoxb8	NM_010461	1	Mus musculus	mmu-miR-196a					{changed}	{By analyzing RNA isolated from the mouse,the HOXB8 5'-RACE results validated this miRNA-target interaction in the animal, whereas previous experimental support for predicted mammalian miRNA targets has come from reporter assays in cultured cells (11).The vertical arrowhead indicates the 5' end of cleavage products detected by 5'-RACE, with the frequency of clones noted. Hs, human; Mm, mouse; Rn, rat;Xl, frog; Dr, zebrafish; Fr, pufferfish.}				2229				{5'-RACE}					
16766263	Homo sapiens	BCL6	NM_138931	1	Homo sapiens	hsa-miR-127-3p	overexpression by miRNA precursor transfection	luciferase	{3'UTR}	{Western blot}{Western blot}	{unchanged}{unchanged}	{On the other hand, there was no difference in the mRNA expression levels of BCL6 before and after treatment as examined by conventional RT-PCR (Figure 6A) and quantitative real-time RT-PCR (data not shown),suggesting translational inhibition of BCL6 by treatment and not mRNA degradation.}{On the other hand, there was no difference in the mRNA expression levels of BCL6 before and after treatment as examined by conventional RT-PCR (Figure 6A) and quantitative real-time RT-PCR (data not shown),suggesting translational inhibition of BCL6 by treatment and not mRNA degradation.}				3133	{overexpression by 5-Aza-Deoxycytidine and phenylbutyrate treatment}{overexpression by miRNA precursor transfection}		{3'UTR}	{activity assay}	{We treated Ramos cells with 0.1 mM of 5-Aza-CdR because they are more sensitive to this drug compared to T24 cells, which caused a reduction of DNA methylation at the promoter region of miR-127 from 75% to 57% (data not shown). We confirmed that miR-127 was substantially induced by the low-dose combination treatment (Figures 2A and 2B). We found a decrease in BCL6 protein expression in T24 and Ramos cells treated with 5-Aza-CdR and PBA (Figure 6A).}{Furthermore, Ramos cells were transfected with miR-127 precursor molecules, which are designed to directly enter the miRNA processing pathway and mimic endogenous miR-127 in the cells. Overexpression of miR-127 induced a reduction of BCL6 protein level (Figure 6B)}		{Luciferase activity assay}		
17150554	Mus musculus	Hes1	NM_008235	2	Mus musculus	mmu-miR-23b	mutation	luciferase	{target site}							unknown			{target site}	{activity assay}			{Luciferase activity assay}		
17150554	Mus musculus	Hes1	NM_008235	1	Mus musculus	mmu-miR-23b	mutation	luciferase	{target site}							1084			{target site}	{activity assay}			{Luciferase activity assay}		
16224024	Homo sapiens	SLITRK1	NM_052910	1	Homo sapiens	hsa-miR-24-1*	overexpression by mature miRNA transfection	luciferase	{3'UTR}							unknown			{3'UTR}	{activity assay}					The target site sequence in the alignment can not be mapped to any candidate gene sequence in NCBI.
17179747	Mus musculus	Slc7a1	NM_007513	NA	Mus musculus	mmu-miR-122	NA	NA	NA	{real time RT-PCR}						NA			NA	NA	{The correspondence between the time-dependent increase of miR-122 and the decrease of CAT-1 was supportive of the prediction that CAT-1 was a direct target of miR-122.}		NA		
17179747	Mus musculus	Slc7a1	NM_007513	3	Homo sapiens	hsa-miR-122					{changed}	{In these experiments we were able to show by quantitative RT-PCR that the action of the miR-122 on the reporter was primarily at the level of mRNA-degradation.}				3539				{N/A}					
17179747	Mus musculus	Slc7a1	NM_007513	2	Homo sapiens	hsa-miR-122					{changed}	{In these experiments we were able to show by quantitative RT-PCR that the action of the miR-122 on the reporter was primarily at the level of mRNA-degradation.}				3320				{N/A}					
17179747	Mus musculus	Slc7a1	NM_007513	1	Homo sapiens	hsa-miR-122					{changed}	{In these experiments we were able to show by quantitative RT-PCR that the action of the miR-122 on the reporter was primarily at the level of mRNA-degradation.}				3267				{N/A}					
17210790	Homo sapiens	PTBP2	NM_021190	2	Homo sapiens	hsa-miR-133b	mutation}{overexpression by siRNA transfection	luciferase	{3'UTR}{3'UTR}	{Western blot}{Western blot}						2690	{underexpression by LNA antisense miRNA oligonucleotides}{mutation}		{3'UTR}{3'UTR}	{activity assay}{activity assay}	{In contrast, an equivalent amount of the anti-miR-124 LNA control oligo had no effect (Fig. 5A, lane 3). Treatment with a combination of three LNA oligos targeting miR-133, miR-1, and miR-206 increased nPTB levels slightly more than the miR-133 LNA alone (Fig. 5A, lane 5). Although PTB protein is not eliminated upon differentiation (Fig. 5A, lane 2), similar increases were seen in the PTB protein level upon LNA treatment (Fig. 5A, middle panel).}{Two days after transfection of wild-type miR-133, nPTB protein was reduced by 50% compared with control cells treated with buffer or transfected with a luciferase small interfering RNA (siRNA) (Fig. 4A). This effect was dose dependent and saturated at higher amounts of miRNA (data not shown). The mutant miR-133 gave weaker repression, at about half that of the wild-type RNA.}				
17210790	Homo sapiens	PTBP2	NM_021190	1	Homo sapiens	hsa-miR-133b	overexpression by siRNA transfection}{mutation	luciferase	{3'UTR}{3'UTR}	{Western blot}{Western blot}						1729	{underexpression by LNA antisense miRNA oligonucleotides}{mutation}		{3'UTR}{3'UTR}	{activity assay}{activity assay}	{In contrast, an equivalent amount of the anti-miR-124 LNA control oligo had no effect (Fig. 5A, lane 3). Treatment with a combination of three LNA oligos targeting miR-133, miR-1, and miR-206 increased nPTB levels slightly more than the miR-133 LNA alone (Fig. 5A, lane 5). Although PTB protein is not eliminated upon differentiation (Fig. 5A, lane 2), similar increases were seen in the PTB protein level upon LNA treatment (Fig. 5A, middle panel).}{Two days after transfection of wild-type miR-133, nPTB protein was reduced by 50% compared with control cells treated with buffer or transfected with a luciferase small interfering RNA (siRNA) (Fig. 4A). This effect was dose dependent and saturated at higher amounts of miRNA (data not shown). The mutant miR-133 gave weaker repression, at about half that of the wild-type RNA.}		{Luciferase activity assay}{Luciferase activity assay}		
16166262	Homo sapiens	BCL2	NM_000633	1	Homo sapiens	hsa-miR-15a	overexpression by mature miRNA transfection	luciferase	{3'UTR}	{Western blot}	{unchanged}	{We haveevaluated mRNA levels by amplifying BCL2 cDNA from cells transfected with the pSR-miR-15_16-WT or with specific miR-15a and miR-16-1 RNA oligos by RT-PCR. No differences in the levels of BCL2 expression were observed between any of these samples and control cells (untransfected or transfected with the empty vector) (Fig. 2B). This result demonstrates that miR-15a and miR-16-1 do not affect mRNA stability and regulate Bcl2 expression at the posttranscriptional level.}				3749	{overexpression by mature miRNA transfection}		{3'UTR}	{activity assay}	{Then we investigated whether both miRNAs affect Bcl2 protein expression or this effect is restricted to only one of them.We have transiently transfected miR-15a and miR-16-1 sense and antisense oligo RNAs into the same MEG-01 cell line. As shown in Fig. 2B, separate transfections of miR-15a-sense and miR-16-1-sense, respectively, completely abolished BCL2 expression,whereas transfection of antisense RNAs did not. Similar data were obtained by cotransfection with both sense RNAs or both antisense RNAs, confirming that both miR-15a and miR-16-1 influence Bcl2 protein expression.}		{Luciferase activity assay}		
16166262	Homo sapiens	BCL2	NM_000633	1	Homo sapiens	hsa-miR-16	overexpression by mature miRNA transfection	luciferase	{3'UTR}	{Western blot}	{unchanged}	{We haveevaluated mRNA levels by amplifying BCL2 cDNA from cells transfected with the pSR-miR-15_16-WT or with specific miR-15a and miR-16-1 RNA oligos by RT-PCR. No differences in the levels of BCL2 expression were observed between any of these samples and control cells (untransfected or transfected with the empty vector) (Fig. 2B). This result demonstrates that miR-15a and miR-16-1 do not affect mRNA stability and regulate Bcl2 expression at the posttranscriptional level.}				3749	{overexpression by mature miRNA transfection}		{3'UTR}	{activity assay}	{Then we investigated whether both miRNAs affect Bcl2 protein expression or this effect is restricted to only one of them.We have transiently transfected miR-15a and miR-16-1 sense and antisense oligo RNAs into the same MEG-01 cell line. As shown in Fig. 2B, separate transfections of miR-15a-sense and miR-16-1-sense, respectively, completely abolished BCL2 expression,whereas transfection of antisense RNAs did not. Similar data were obtained by cotransfection with both sense RNAs or both antisense RNAs, confirming that both miR-15a and miR-16-1 influence Bcl2 protein expression.}		{Luciferase activity assay}		
16325577	Homo sapiens	NFIA	NM_005595	1	Homo sapiens	hsa-miR-223	overexpression by miRNA retinoic acid induction	luciferase	{3'UTR}							2428			{3'UTR}	{activity assay}			{Luciferase activity assay}		
16330772	Homo sapiens	KIT	NM_000222	1	Homo sapiens	hsa-miR-221				{Western blot}	{unchanged}	The enforced expression of both miRs also induced a clear reduction of kit protein level (Fig. 5A Middle). Here again, no significant modulation of kit mRNA was observed by real-time PCR (data not shown).				4055	{overexpression by mature miRNA transfection}			{N/A}	{Finally, we analyzed kit expression in E culture overexpressing miR 221 and_or 222, or at 2 and 4 days after transfection. Western blotting analysis showed a marked decrease of kit protein expression in the transfected cells as compared with controls (Fig. 4 Bottom).}				
16330772	Homo sapiens	KIT	NM_000222	1	Homo sapiens	hsa-miR-222				{Western blot}	{unchanged}	{The enforced expression of both miRs also induced a clear reduction of kit protein level (Fig. 5A Middle). Here again, no significant modulation of kit mRNA was observed by real-time PCR (data not shown).}				4055	{overexpression by mature miRNA transfection}			{N/A}	{Finally, we analyzed kit expression in E culture overexpressing miR 221 and_or 222, or at 2 and 4 days after transfection. Western blotting analysis showed a marked decrease of kit protein expression in the transfected cells as compared with controls (Fig. 4 Bottom).}				
16549775	Homo sapiens	MAFB	NM_005461	NA	Homo sapiens	hsa-miR-130a	NA	NA	NA				{yes}		{As an additional control experiment, we used a mutated target mRNA sequence for MAFB lacking five of the complementary bases. As expected, the mutations completely abolished the interaction between miR- 130a and its target 3_UTRs (Fig. 2B)}	NA			NA	NA			NA		
16549775	Homo sapiens	HOXA1	NM_153620	1	Homo sapiens	hsa-miR-10a				{Western blot}	{changed}	{A significant reduction at themRNAand protein levels for HOXA1 was found for K562 cells transfected with the miR-10a precursor but not with the negative control (Fig. 3 F and G). These data indicate that miR-10a targets HOXA1 in vitro and in vivo.}				1484	{overexpression by miRNA precursor transfection}			{N/A}	{We thus investigated whether miR-10a could target a HOX gene. We performed real-time PCR for the predicted HOX targets of miR-10: HOXA1, HOXA3, and HOXD10. After normalization with 18S RNA, we found that HOXA1 mRNA is up-regulated 7-fold during megakaryocytic differentiation compared with CD34 progenitors (Figs. 3A). HOXA1 protein levels were also up-regulated during megakaryocytic differentiation (Fig. 3B).These results are in a sharp contrast with the down-regulation of miR-10a in megakaryocytic differentiation, suggesting that miR- 10a could be an inhibitor of HOXA1 expression.}				
16940181	Homo sapiens	NCOA3	NM_181659	1	Homo sapiens	hsa-miR-17	mutation	luciferase	{3'UTR}	{Western blot}{Western blot}	{unchanged}	{As expected, AIB1 mRNA levels were unaffected by Mir-17-5p (Fig. 2A), although Northern blotting (Fig. 2A) and real-time PCR (data not shown) revealed that AIB1 mRNA was sharply reduced by cotransfection of an AIB1- specific short interfering RNA (siRNA) molecule. }				5783	{overexpression by mature miRNA transfection}{underexpression by siRNA transfection}		{3'UTR}	{Luciferase activity assay}	{In contrast, AIB1 protein levels decreased substantially after treatment with Mir-17-5p, as shown by Western blotting (Fig. 2B) and by pulse-labeling (Fig. 2C); the reduction level was comparable to that using AIB1-specific siRNA, which occasionally decreased AIB1 protein to almost undetectable levels (data not shown).}{To further examine the function of Mir-17-5p, we tested whether the levels of endogenous Mir-17-5p in HeLa cells could be reduced by using synthetic siRNA targeted to the Mir-17-5p precursor. We selected HeLa cells for their high expression of endogenous mature Mir-17-5p. The intracellular levels of Mir-17-5p decreased significantly after treatment with Mir-17-5p-specific siRNA (Fig. 2D). As expected, the levels of endogenous AIB1 protein increased in the presence of Mir-17-5p-specific siRNA, whereas mutant siRNA did not affect the expression of Mir-17-5p or AIB1 protein (Fig. 2E). These results suggest that synthetic Mir-17-5p suppresses the expression of AIB1, primarily at the level of translation.}		{Luciferase activity assay}		
